
Start NMF for gFN using PyTorch at 2023-09-03 08:34:20

    Iter = 182: LogL: 887557.320127853, dataFit: 624914.0413807314, spaLap: 80178.15666956305, L21: 182465.12207755854, ardU: 0
    Iter = 183: LogL: 885748.7513658814, dataFit: 622903.7813782326, spaLap: 80508.96276800284, L21: 182336.00721964586, ardU: 0
    Iter = 184: LogL: 883966.1198619662, dataFit: 620918.56721531, spaLap: 80841.34294476936, L21: 182206.2097018868, ardU: 0
    Iter = 185: LogL: 882209.7425022611, dataFit: 618959.5830199749, spaLap: 81174.28353199088, L21: 182075.87595029533, ardU: 0
    Iter = 186: LogL: 880479.9802282962, dataFit: 617027.6167244146, spaLap: 81507.20672450465, L21: 181945.15677937702, ardU: 0
    Iter = 187: LogL: 878772.848636916, dataFit: 615123.3524703933, spaLap: 81835.28849333283, L21: 181814.20767319, ardU: 0
    Iter = 188: LogL: 877091.9495456759, dataFit: 613244.8275238553, spaLap: 82163.99705926928, L21: 181683.12496255126, ardU: 0
    Iter = 189: LogL: 875438.3570639858, dataFit: 611394.3852442725, spaLap: 82491.90266809883, L21: 181552.0691516144, ardU: 0
    Iter = 190: LogL: 873812.3947309391, dataFit: 609572.6629001528, spaLap: 82818.53623976035, L21: 181421.19559102587, ardU: 0
    Iter = 191: LogL: 872214.2239418045, dataFit: 607780.1263715106, spaLap: 83143.44467432555, L21: 181290.65289596844, ardU: 0
    Iter = 192: LogL: 870644.2408542603, dataFit: 606017.0275438624, spaLap: 83466.63307727469, L21: 181160.5802331233, ardU: 0
    Iter = 193: LogL: 869102.6743072172, dataFit: 604283.7022593527, spaLap: 83787.86223697904, L21: 181031.10981088554, ardU: 0
    Iter = 194: LogL: 867587.8290053564, dataFit: 602580.3341489818, spaLap: 84105.13186279962, L21: 180902.362993575, ardU: 0
    Iter = 195: LogL: 866100.9396720352, dataFit: 600906.0920052477, spaLap: 84420.41800832449, L21: 180774.42965846305, ardU: 0
